Player,Pos,Ht,PTS,AST,TRB,STL,BLK,eFG%,FT%,TOV,PF,ChrissyMetric
JJ Redick,G,6-3,4.963954119720369,-1.686354115132037,-3.2931212673326646,-0.8191463051626957,-1.2692987130790205,3.8141259888649537,1.3959302328057805,0.5753428790893714,0.4808440901994886,4.162276909973546
Enes Freedom,C,6-10,1.6489184971093644,-3.5065683427210064,4.189068134304108,-1.8665124764403713,-0.3755733178425592,3.3718635907697116,0.4502270273763678,0.05561310782058959,0.11950803411390828,4.0865442544901125
Nikola Jokic,C-F,6-11,-0.8373582198488869,0.13386011245693233,2.8615829178846806,0.5773419232075383,0.22024361231508144,1.249004079912554,0.5957198282116623,0.1855455506377849,-0.964500134142833,4.021439670634513
Derrick Rose,G,6-3,5.056038442570673,4.320352835911563,-1.4829141540334456,-0.47002424807013743,-0.9713902480002001,-2.598678783516051,0.40865765570914087,-1.633508648802952,1.3841842304134395,4.012717082182029
Luol Deng,F,6-9,1.2805812057081434,-0.7762470013375523,1.6547781756852014,0.5773419232075383,-0.3755733178425592,0.32025304391254517,0.013748624870484496,0.4454104362721758,0.8421801462850689,3.9824732367610465
Avery Bradley,G,6-3,3.9510265683670056,-0.41220415581975817,-2.086316525133185,2.3229522086703307,-0.6734817829213797,0.5856104827696905,0.2735571977906532,0.05561310782058959,-0.2418280219716724,3.7749290795722743
George Hill,G,6-4,1.0964125600075312,2.1360957628047985,-0.7588313087137577,0.9264639803000971,-0.9713902480002001,0.9394204012458843,0.06571033945451822,0.05561310782058959,0.11950803411390828,3.6090026290333697
Otto Porter Jr.,F,6-8,0.635990945756003,-1.3223112696142427,0.6893343819256178,1.973830151577772,-0.3755733178425592,1.5143615187696993,0.0033562819536777488,0.7052753219065668,-0.2418280219716724,3.582435992460862
Serge Ibaka,F-C,6-11,1.5568341742590595,-2.7784826516854184,2.620221969444785,-1.168268362255254,4.0930536583397465,0.27602680410302094,-0.017428403879935744,0.05561310782058959,-1.1451681621856233,3.4924021339609705
Evan Fournier,G-F,6-6,4.135195214067618,0.6799243807336236,-2.2069969993531333,1.275586037392655,-1.5672071781578407,1.7354927178173203,0.8555284011318298,-0.3341842206309969,-1.1451681621856233,3.428170190815454
Robin Lopez,C,7-1,-0.5611052512979693,-1.686354115132037,3.2236243405445246,-2.2156345335329295,3.1993282631032858,1.4259090391506508,0.42944234154275435,-0.20425177781380158,-0.2418280219716724,3.3691302845928055
